report_id,report_type,generated_by,report_date,cases_covered,summary
R0091,Monthly,Officer65,2026-02-06,16,Monthly report summary 91
R0092,Case Summary,Officer88,2026-04-10,18,Case Summary report summary 92
R0093,Weekly,Officer80,2026-01-09,31,Weekly report summary 93
R0094,Daily,Officer35,2026-01-02,7,Daily report summary 94
R0095,Daily,Officer79,2026-06-24,16,Daily report summary 95
R0096,Weekly,Officer64,2026-02-14,49,Weekly report summary 96
R0097,Case Summary,Officer16,2026-02-08,42,Case Summary report summary 97
R0098,Daily,Officer57,2026-06-12,20,Daily report summary 98
R0099,Daily,Officer99,2026-06-03,29,Daily report summary 99
R0100,Daily,Officer45,2026-02-26,43,Daily report summary 100
R0101,Case Summary,Officer23,2026-06-17,23,Case Summary report summary 101
R0102,Case Summary,Officer61,2026-02-18,32,Case Summary report summary 102
R0103,Daily,Officer24,2026-07-23,40,Daily report summary 103
R0104,Monthly,Officer54,2026-03-15,8,Monthly report summary 104
R0105,Weekly,Officer43,2026-06-12,21,Weekly report summary 105
R0106,Daily,Officer8,2026-06-16,26,Daily report summary 106
R0107,Weekly,Officer43,2026-06-08,27,Weekly report summary 107
R0108,Daily,Officer88,2026-01-01,44,Daily report summary 108
R0109,Monthly,Officer29,2026-01-07,32,Monthly report summary 109
R0110,Daily,Officer46,2026-07-25,7,Daily report summary 110
R0111,Weekly,Officer77,2026-07-05,19,Weekly report summary 111
R0112,Weekly,Officer18,2026-07-16,19,Weekly report summary 112
R0113,Weekly,Officer99,2026-03-20,14,Weekly report summary 113
R0114,Monthly,Officer20,2026-04-19,8,Monthly report summary 114
R0115,Daily,Officer90,2026-05-04,17,Daily report summary 115
R0116,Case Summary,Officer9,2026-01-02,46,Case Summary report summary 116
R0117,Monthly,Officer41,2026-07-23,25,Monthly report summary 117
R0118,Monthly,Officer20,2026-01-05,9,Monthly report summary 118
R0119,Case Summary,Officer40,2026-05-04,40,Case Summary report summary 119
R0120,Monthly,Officer95,2026-07-04,47,Monthly report summary 120
R0121,Case Summary,Officer13,2026-07-06,34,Case Summary report summary 121
R0122,Daily,Officer48,2026-07-03,46,Daily report summary 122
R0123,Weekly,Officer95,2026-02-01,22,Weekly report summary 123
R0124,Case Summary,Officer3,2026-03-07,44,Case Summary report summary 124
R0125,Weekly,Officer44,2026-02-15,49,Weekly report summary 125
R0126,Daily,Officer48,2026-05-20,42,Daily report summary 126
R0127,Daily,Officer99,2026-01-28,50,Daily report summary 127
R0128,Daily,Officer8,2026-05-20,29,Daily report summary 128
R0129,Daily,Officer6,2026-02-05,36,Daily report summary 129
R0130,Weekly,Officer92,2026-06-17,36,Weekly report summary 130
R0131,Monthly,Officer96,2026-02-27,6,Monthly report summary 131
R0132,Weekly,Officer87,2026-05-25,45,Weekly report summary 132
R0133,Monthly,Officer45,2026-07-09,37,Monthly report summary 133
R0134,Monthly,Officer49,2026-06-15,46,Monthly report summary 134
R0135,Daily,Officer87,2026-03-08,50,Daily report summary 135
R0136,Monthly,Officer54,2026-01-15,29,Monthly report summary 136
R0137,Monthly,Officer47,2026-04-20,33,Monthly report summary 137
R0138,Case Summary,Officer18,2026-04-14,27,Case Summary report summary 138
R0139,Daily,Officer75,2026-04-12,50,Daily report summary 139
R0140,Monthly,Officer18,2026-04-19,38,Monthly report summary 140
R0141,Weekly,Officer70,2026-04-08,30,Weekly report summary 141
R0142,Case Summary,Officer100,2026-01-27,32,Case Summary report summary 142
R0143,Monthly,Officer58,2026-05-01,38,Monthly report summary 143
R0144,Monthly,Officer20,2026-07-13,20,Monthly report summary 144
R0145,Weekly,Officer92,2026-07-03,29,Weekly report summary 145
R0146,Daily,Officer20,2026-03-09,28,Daily report summary 146
R0147,Daily,Officer22,2026-04-12,11,Daily report summary 147
R0148,Monthly,Officer98,2026-07-23,45,Monthly report summary 148
R0149,Case Summary,Officer72,2026-02-23,14,Case Summary report summary 149
R0150,Weekly,Officer2,2026-06-16,50,Weekly report summary 150
R0151,Monthly,Officer27,2026-02-12,16,Monthly report summary 151
R0152,Monthly,Officer1,2026-01-09,12,Monthly report summary 152
R0153,Weekly,Officer21,2026-02-02,44,Weekly report summary 153
R0154,Daily,Officer89,2026-03-24,10,Daily report summary 154
R0155,Case Summary,Officer77,2026-03-08,20,Case Summary report summary 155
R0156,Weekly,Officer56,2026-02-12,46,Weekly report summary 156
R0157,Daily,Officer56,2026-07-21,27,Daily report summary 157
R0158,Weekly,Officer80,2026-02-12,33,Weekly report summary 158
R0159,Daily,Officer11,2026-02-08,47,Daily report summary 159
R0160,Monthly,Officer12,2026-04-06,5,Monthly report summary 160
R0161,Daily,Officer67,2026-04-01,11,Daily report summary 161
R0162,Monthly,Officer82,2026-06-20,33,Monthly report summary 162
R0163,Case Summary,Officer76,2026-06-25,26,Case Summary report summary 163
R0164,Monthly,Officer82,2026-04-15,49,Monthly report summary 164
R0165,Case Summary,Officer2,2026-01-16,18,Case Summary report summary 165
R0166,Daily,Officer63,2026-07-05,44,Daily report summary 166
R0167,Daily,Officer61,2026-05-26,17,Daily report summary 167
R0168,Monthly,Officer5,2026-05-25,26,Monthly report summary 168
R0169,Case Summary,Officer56,2026-02-16,39,Case Summary report summary 169
R0170,Monthly,Officer95,2026-07-12,19,Monthly report summary 170
R0171,Weekly,Officer20,2026-06-13,5,Weekly report summary 171
R0172,Monthly,Officer91,2026-03-25,15,Monthly report summary 172
R0173,Case Summary,Officer65,2026-06-13,35,Case Summary report summary 173
R0174,Daily,Officer63,2026-02-07,47,Daily report summary 174
R0175,Monthly,Officer99,2026-07-22,12,Monthly report summary 175
R0176,Weekly,Officer25,2026-04-01,41,Weekly report summary 176
R0177,Weekly,Officer28,2026-02-20,12,Weekly report summary 177
R0178,Case Summary,Officer66,2026-01-15,19,Case Summary report summary 178
R0179,Weekly,Officer42,2026-06-18,41,Weekly report summary 179
R0180,Case Summary,Officer82,2026-04-23,16,Case Summary report summary 180
R0181,Case Summary,Officer81,2026-05-06,39,Case Summary report summary 181
R0182,Case Summary,Officer87,2026-01-11,46,Case Summary report summary 182
R0183,Monthly,Officer38,2026-01-14,36,Monthly report summary 183
R0184,Case Summary,Officer1,2026-02-13,21,Case Summary report summary 184
R0185,Case Summary,Officer97,2026-03-05,48,Case Summary report summary 185
R0186,Case Summary,Officer97,2026-01-09,21,Case Summary report summary 186
R0187,Case Summary,Officer54,2026-04-03,37,Case Summary report summary 187
R0188,Case Summary,Officer88,2026-07-08,11,Case Summary report summary 188
R0189,Case Summary,Officer39,2026-06-28,48,Case Summary report summary 189
R0190,Daily,Officer72,2026-02-18,9,Daily report summary 190
R0191,Daily,Officer17,2026-01-03,31,Daily report summary 191
R0192,Daily,Officer4,2026-05-10,7,Daily report summary 192
R0193,Monthly,Officer13,2026-03-12,31,Monthly report summary 193
R0194,Weekly,Officer93,2026-04-20,17,Weekly report summary 194
R0195,Daily,Officer6,2026-07-22,16,Daily report summary 195
R0196,Case Summary,Officer47,2026-05-01,30,Case Summary report summary 196
R0197,Weekly,Officer45,2026-04-25,48,Weekly report summary 197
R0198,Monthly,Officer87,2026-01-08,11,Monthly report summary 198
R0199,Case Summary,Officer64,2026-06-06,11,Case Summary report summary 199
R0200,Weekly,Officer70,2026-06-09,10,Weekly report summary 200
